Date of Download: 2023-08-24_17:21:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Search Parameters: Data Level:all  Trait List:  Trial List:9368,9351,9474,9475,11056,11065,11177,10993,11178  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,branching level counting|CO_334:0000079,cassava bacterial blight severity 3-month evaluation|CO_334:0000175,dry matter content by specific gravity method|CO_334:0000160,first apical branch height measurement in cm|CO_334:0000106,fresh root yield|CO_334:0000013,fresh shoot weight measurement in kg per plot|CO_334:0000016,fresh storage root weight per plot|CO_334:0000012,frog skin disease : visual 1-5|CO_334:0000093,initial plant vigor assessment 1-5|CO_334:0000220,lodged plants estimation 1-3|CO_334:0000301,marketable root number counting|CO_334:0000169,marketable root weight measurement in kg|CO_334:0000131,number of planted stakes per plant counting|CO_334:0000300,number of planted stakes per plot counting|CO_334:0000159,plant architecture visual rating 1-5|CO_334:0000099,plant height measurement in cm|CO_334:0000018,plant height with leaf in cm|CO_334:0000123,plant stands harvested counting|CO_334:0000010,red spider mite severity : visual 1-5|CO_334:0000044,red spider mite severity : visual 1-5|month 7|COMP:0000283,root color visual rating 1-3|CO_334:0000221,root constriction visual rating 1-3|CO_334:0000109,root evaluation scaled 1-5|CO_334:0000228,root length evaluation scaled 1-3|CO_334:0000226,root number per plot counting|CO_334:0000011,root weight in air|CO_334:0000157,root weight in water|CO_334:0000158,rotted storage root counting|CO_334:0000084,sprout count discrete counting|CO_334:0000138,storage root neck length visual rating 1-3|CO_334:0000223,storage root shape visual rating 1-6|CO_334:0000020,thrips severity : visual 1-5|CO_334:0002084,total carotenoid by chart 1-8|CO_334:0000161,notes
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9351,202156DVGXE_repe,202156DVGXE_repe,RCBD,5.2,4,,no,no,2021-August-10,2022-August-23,56,"Repelon. Atlantico, Colombia",139257,CG1141-1,,plot,3777670,202156DVGXE_repe_rep1_CG1141-1_11,1,1,11,2,4,check,,0,1,31.81045131,280,25.96153846,,16.2,,4,1,25,,10,20,1,280,40,6,,,1,1,2,3,,4625,415,0,16,1,2,1,4," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9351,202156DVGXE_repe,202156DVGXE_repe,RCBD,5.2,4,,no,no,2021-August-10,2022-August-23,56,"Repelon. Atlantico, Colombia",139268,CM4919-1,,plot,3777641,202156DVGXE_repe_rep1_CM4919-1_1,1,1,1,1,1,check,,0,1,29.74675647,350,54.16666667,,33.8,,4,1,44,,12,20,2,350,30,6,,,3,1,1,2,,4150,327,0,17,1,2,1,1," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9351,202156DVGXE_repe,202156DVGXE_repe,RCBD,5.2,4,,no,no,2021-August-10,2022-August-23,56,"Repelon. Atlantico, Colombia",152748,CM9456-12,,plot,3777629,202156DVGXE_repe_rep1_CM9456-12_21,1,1,21,3,7,test,,0,1,31.2147252,280,31.73076923,,19.8,,3,1,22,,10,20,2,280,30,6,,,3,1,2,2,,5000,433,0,20,1,3,4,1," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9351,202156DVGXE_repe,202156DVGXE_repe,RCBD,5.2,4,,no,no,2021-August-10,2022-August-23,56,"Repelon. Atlantico, Colombia",230102,CM9912-167,,plot,3777672,202156DVGXE_repe_rep1_CM9912-167_22,1,1,22,4,7,test,,2,1,32.61135505,190,82.69230769,,51.6,,4,2,43,,12,20,3,280,40,6,,,2,1,2,3,,4675,439,2,12,2,2,1,1," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9351,202156DVGXE_repe,202156DVGXE_repe,RCBD,5.2,4,,no,no,2021-August-10,2022-August-23,56,"Repelon. Atlantico, Colombia",247097,CM9962-27,,plot,3777645,202156DVGXE_repe_rep1_CM9962-27_27,1,1,27,4,2,test,,0,1,26.85074707,320,43.10897436,,26.9,,5,1,26,,12,20,2,320,40,6,,,3,2,2,3,,4000,252,0,20,1,2,1,1," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9351,202156DVGXE_repe,202156DVGXE_repe,RCBD,5.2,4,,no,no,2021-August-10,2022-August-23,56,"Repelon. Atlantico, Colombia",139299,COL2215,,plot,3777632,202156DVGXE_repe_rep1_COL2215_4,1,1,4,1,4,check,,5,1,30.30479187,120,56.57051282,,35.3,,3,1,42,,8,20,3,260,30,6,,,3,2,1,3,,4500,368,1,9,1,2,2,5," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9351,202156DVGXE_repe,202156DVGXE_repe,RCBD,5.2,4,,no,no,2021-August-10,2022-August-23,56,"Repelon. Atlantico, Colombia",269469,GM1406-13,,plot,3777638,202156DVGXE_repe_rep1_GM1406-13_24,1,1,24,4,5,test,,1,1,31.48070175,310,38.62179487,,24.1,,3,1,27,,14,20,2,330,40,6,,,2,1,2,2,,4000,352,0,18,1,2,1,1," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9351,202156DVGXE_repe,202156DVGXE_repe,RCBD,5.2,4,,no,no,2021-August-10,2022-August-23,56,"Repelon. Atlantico, Colombia",168179,GM273-57,,plot,3777628,202156DVGXE_repe_rep1_GM273-57_28,1,1,28,4,1,test,,3,1,31.81548767,160,29.6474359,,18.5,,5,2,18,,12,20,3,310,30,6,,,1,1,2,3,,4100,368,0,20,1,2,1,1," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9351,202156DVGXE_repe,202156DVGXE_repe,RCBD,5.2,4,,no,no,2021-August-10,2022-August-23,56,"Repelon. Atlantico, Colombia",2372330,GM3937-67,,plot,3777668,202156DVGXE_repe_rep1_GM3937-67_18,1,1,18,3,4,test,,5,1,34.47244561,110,19.39102564,,12.1,,5,2,14,,10,20,3,320,40,6,,,3,1,3,1,,4050,419,0,17,1,2,1,1," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9351,202156DVGXE_repe,202156DVGXE_repe,RCBD,5.2,4,,no,no,2021-August-10,2022-August-23,56,"Repelon. Atlantico, Colombia",2372403,GM4034-1,,plot,3777625,202156DVGXE_repe_rep1_GM4034-1_23,1,1,23,4,6,test,,7,1,33.01637168,70,37.33974359,,23.3,,4,2,30,,12,20,3,260,30,6,,,2,1,1,3,,4500,432,0,19,1,3,2,1," (Operator: lizbethpino, Time: )"
