"Date of Download: 2023-09-06_15:45:51"
"Search Parameters: Data Level:all  Trait List:  Trial List:9368,9351,9474,9475,11714,11056,11065,11177  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","branching level counting|CO_334:0000079","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh shoot weight measurement in kg per plot|CO_334:0000016","fresh storage root weight per plot|CO_334:0000012","frog skin disease : visual 1-5|CO_334:0000093","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","marketable root number counting|CO_334:0000169","marketable root weight measurement in kg|CO_334:0000131","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","red spider mite severity : visual 1-5|CO_334:0000044","red spider mite severity : visual 1-5|month 7|COMP:0000283","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root number per plot counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9351","202156DVGXE_repe","202156DVGXE_repe","RCBD","5.2","4","","no","no","2021-August-10","2022-August-23","56","Repelon. Atlantico, Colombia","139257","CG1141-1","","plot","3777670","202156DVGXE_repe_rep1_CG1141-1_11","1","1","11","2","4","check","","0","1","29.7467564739733","280","54.1666666666667","","33.8","","4","1","44","","10","20","1","280","40","6","","","3","1","1","2","","4150","327","0","16","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9351","202156DVGXE_repe","202156DVGXE_repe","RCBD","5.2","4","","no","no","2021-August-10","2022-August-23","56","Repelon. Atlantico, Colombia","139268","CM4919-1","","plot","3777641","202156DVGXE_repe_rep1_CM4919-1_1","1","1","1","1","1","check","","0","1","30.3047918683446","350","56.5705128205128","","35.3","","4","1","42","","12","20","2","350","30","6","","","3","2","1","3","","4500","368","1","17","1","2","1","5"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9351","202156DVGXE_repe","202156DVGXE_repe","RCBD","5.2","4","","no","no","2021-August-10","2022-August-23","56","Repelon. Atlantico, Colombia","152748","CM9456-12","","plot","3777629","202156DVGXE_repe_rep1_CM9456-12_21","1","1","21","3","7","test","","0","1","36.0909203980099","280","40.5448717948718","","25.3","","3","1","28","","10","20","2","280","30","6","","","3","1","2","3","","4525","505","0","20","1","2","4","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9351","202156DVGXE_repe","202156DVGXE_repe","RCBD","5.2","4","","no","no","2021-August-10","2022-August-23","56","Repelon. Atlantico, Colombia","230102","CM9912-167","","plot","3777672","202156DVGXE_repe_rep1_CM9912-167_22","1","1","22","4","7","test","","2","1","33.8758916164891","190","49.5192307692308","","30.9","","4","2","26","","12","20","3","280","40","6","","","1","2","1","3","","4800","482","0","12","1","2","1","3"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9351","202156DVGXE_repe","202156DVGXE_repe","RCBD","5.2","4","","no","no","2021-August-10","2022-August-23","56","Repelon. Atlantico, Colombia","247097","CM9962-27","","plot","3777645","202156DVGXE_repe_rep1_CM9962-27_27","1","1","27","4","2","test","","0","1","32.7035980148883","320","49.1987179487179","","30.7","","5","1","40","","12","20","2","320","40","6","","","1","1","1","3","","4450","420","1","20","1","3","1","2"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9351","202156DVGXE_repe","202156DVGXE_repe","RCBD","5.2","4","","no","no","2021-August-10","2022-August-23","56","Repelon. Atlantico, Colombia","139299","COL2215","","plot","3777632","202156DVGXE_repe_rep1_COL2215_4","1","1","4","1","4","check","","5","1","35.3715246636771","120","18.4294871794872","","11.5","","3","1","12","","8","20","3","260","30","6","","","3","1","3","1","","3250","351","0","9","1","2","2","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9351","202156DVGXE_repe","202156DVGXE_repe","RCBD","5.2","4","","no","no","2021-August-10","2022-August-23","56","Repelon. Atlantico, Colombia","269469","GM1406-13","","plot","3777638","202156DVGXE_repe_rep1_GM1406-13_24","1","1","24","4","5","test","","1","1","31.480701754386","310","43.5897435897436","","27.2","","3","1","25","","14","20","2","330","40","6","","","3","1","2","2","","4750","418","0","18","1","2","1","3"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9351","202156DVGXE_repe","202156DVGXE_repe","RCBD","5.2","4","","no","no","2021-August-10","2022-August-23","56","Repelon. Atlantico, Colombia","168179","GM273-57","","plot","3777628","202156DVGXE_repe_rep1_GM273-57_28","1","1","28","4","1","test","","3","1","32.6113550519358","160","82.6923076923077","","51.6","","5","2","43","","12","20","3","310","30","6","","","2","1","2","3","","4675","439","2","20","2","2","1","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9351","202156DVGXE_repe","202156DVGXE_repe","RCBD","5.2","4","","no","no","2021-August-10","2022-August-23","56","Repelon. Atlantico, Colombia","2372330","GM3937-67","","plot","3777668","202156DVGXE_repe_rep1_GM3937-67_18","1","1","18","3","4","test","","5","1","25.9146226415094","110","66.8269230769231","","41.7","","5","2","30","","10","20","3","320","40","6","","","3","1","1","3","","4500","260","3","17","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9351","202156DVGXE_repe","202156DVGXE_repe","RCBD","5.2","4","","no","no","2021-August-10","2022-August-23","56","Repelon. Atlantico, Colombia","2372403","GM4034-1","","plot","3777625","202156DVGXE_repe_rep1_GM4034-1_23","1","1","23","4","6","test","","7","1","31.8154876741693","70","29.6474358974359","","18.5","","4","2","18","","12","20","3","260","30","6","","","1","1","2","3","","4100","368","0","19","1","2","2","1"," (Operator: lizbethpino, Time: )"
